"term","odds_ratio","ci_lower","ci_upper"
"(Intercept)",3.2107058633692e-119,2.24145213747545e-158,4.9586206805984e-80
"gendermale",1.43684764976762,1.30398041254344,1.58373241520908
"occupationservices",0.968383438900085,0.810811307143737,1.15422245678277
"occupationtechnical",0.881818014229787,0.777648755517511,0.999775681524982
"occupationunemployed",1.30264873149298,1.11642407147543,1.51873342150533
"salarylow",0.226028419769392,0.198295648118747,0.257232405340588
"salarymedium",0.76229106635576,0.684124519452644,0.849195010156662
"education_levelnone",2.77973275573711,0.331799202592102,17.0151217632095
"education_levelschool",0.798763062266786,0.683088605918359,0.935427877661436
"education_leveluniversity",1.03493897050057,0.874693697610553,1.22615060803192
"car_insuranceyes",4.76900605517065,4.12707580520104,5.50986587303319
"life_insuranceyes",2.18371937548823,1.83731660409823,2.59083266886522
"savings_accountyes",1.95690736529512,1.77385900230645,2.15896646553165
"current_accountyes",3.78728037824949,3.30648740805328,4.34967330947696
"credit_cardyes",1.59871172850917,1.44920816358657,1.76443341337656
"contact_methodtelephone",0.477765683100021,0.397260544086957,0.572746457377762
"monthaug",2.49485352846526,1.86866334879502,3.33143797142
"monthdec",1.5416106260764,0.92139323760621,2.58348955527014
"monthjul",1.07188858176885,0.853476309008166,1.34599512926333
"monthjun",0.537927051040698,0.399670000438108,0.723930684038071
"monthmar",8.4435254494235,5.98771989945369,11.9138693049161
"monthmay",0.616237982879367,0.507072762396465,0.749206527372084
"monthnov",0.624036203665067,0.469192288087392,0.829392018217433
"monthoct",1.30755038591246,0.909489932659066,1.87816833438157
"monthsep",1.63415310235639,1.06820984333597,2.49824124627569
"day_of_weekmon",0.895858719474876,0.765934456402052,1.04787029520824
"day_of_weekthu",1.0734886722046,0.921215004366158,1.25130035749106
"day_of_weektue",1.10439212060359,0.94360082897743,1.29277893192151
"day_of_weekwed",1.24346285902561,1.06475855525774,1.45262257954337
"contact_duration",1.00466010309877,1.00448619723776,1.00483682497616
"contacts",0.963560309223224,0.937602501624594,0.989182224561232
"last_contacted",0.999116114553014,0.998564683726495,0.999663785950157
"previous_contacts",0.882934277865465,0.761069017996862,1.02413289163684
"previous_campaign_outcomenonexistent",1.41859792064282,1.12805299005087,1.78715850414148
"previous_campaign_outcomesuccess",2.66642102182208,1.55584131697768,4.55658262407297
"emp_var_rate",0.144411979848261,0.10320031933248,0.202100801478589
"cons_price_idx",11.641024644066,6.4118786603204,21.1391582221203
"cons_conf_idx",1.02734327200038,1.00848216436161,1.04658336073666
"euribor_3m",1.40447736680092,1.03335749967062,1.90989786203914
"n_employed",1.00745406805662,1.00010667889248,1.0148379704113
